Source,Destination,Distance_km,Cost_per_km,Average_Travel_Time_hrs,Route_Type,Fuel_Efficiency,Tolls_Cost
Mumbai,Delhi,1400,25,18,Highway,6.5,450
Mumbai,Bangalore,980,22,14,Highway,7.2,320
Delhi,Kolkata,1470,24,20,Highway,6.8,380
Bangalore,Chennai,350,20,6,Highway,8.1,120
Mumbai,Pune,150,18,3,Highway,9.2,50
Delhi,Ahmedabad,950,23,12,Highway,7.0,280
Bangalore,Hyderabad,570,21,8,Highway,7.8,180
Chennai,Kolkata,1670,26,22,Highway,6.2,420
Pune,Ahmedabad,650,22,9,Highway,7.5,200
Hyderabad,Chennai,620,21,9,Highway,7.6,190
Delhi,Chandigarh,250,19,4,Highway,8.5,80
Mumbai,Kochi,1380,27,19,Highway,6.0,440
Bangalore,Coimbatore,480,20,7,Highway,8.0,160
Chennai,Kochi,700,23,10,Highway,7.3,220
Kolkata,Bhopal,1200,25,16,Highway,6.7,350
Delhi,Jaipur,280,20,5,Highway,8.3,90
Ahmedabad,Indore,420,21,6,Highway,7.7,140
Jaipur,Indore,520,22,7,Highway,7.4,170
Lucknow,Delhi,550,23,8,Highway,7.1,180
Indore,Bhopal,190,19,3,Highway,8.8,60
